Altitude,Bag Weight,Harvest Year,Moisture Percentage,Category One Defects,Quakers,Category Two Defects,Number of Bags Log,Quality,Country_colombia,Country_costa rica,Country_el salvador,Country_ethiopia,Country_guatemala,Country_honduras,Country_indonesia,Country_kenya,Country_laos,Country_madagascar,Country_mexico,Country_myanmar,Country_nicaragua,Country_panama,Country_peru,Country_taiwan,Country_tanzania,Country_thailand,Country_uganda,Country_usa,Country_vietnam,Variety_catimor,Variety_catuai,Variety_caturra,Variety_ethiopian heirlooms,Variety_gesha,Variety_other,Variety_sl34,Variety_typica,Variety_unknown,Processing Method_natural,Processing Method_other,Processing Method_washed,Color_bluish-green,Color_browish-green,Color_brownish,Color_green,Color_greenish,Color_pale yellow,Color_yellow,Color_yellow-green
2000.0,30,2022,11.8,0,1,1,2.3978952727983707,High,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
2000.0,15,2021,11.5,0,0,1,1.791759469228055,High,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
1250.0,60,2022,11.9,0,0,0,0.6931471805599453,High,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
1950.0,60,2022,11.6,0,3,2,3.713572066704308,High,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1850.0,35,2022,10.6,0,0,0,4.2626798770413155,High,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
1100.0,60,2022,10.2,0,0,0,0.6931471805599453,High,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
2000.0,5,2022,11.3,0,2,2,2.1972245773362196,High,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False
1300.0,2,2022,10.3,0,0,0,1.791759469228055,High,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
1200.0,1,2022,11.0,0,0,1,2.1972245773362196,High,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
1585.0,30,2023,10.0,0,0,0,5.303304908059076,High,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
